"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sap25",5.78693106686443e-07,-1.34604142050946,0.017,0.049,0.0145188313536562
"Traf3ip3",5.80897019772122e-07,-1.20045100039281,0.002,0.023,0.0145741253290628
"Epha3",5.80944153177822e-07,-2.73711327851098,0.006,0.03,0.0145753078590784
"Vps18",5.81597889410962e-07,-0.274266578400187,0.045,0.09,0.0145917094474316
"Fam175b",5.81843746618618e-07,1.48392563193877,0.111,0.065,0.0145978777589145
"Pcdhga8.1",5.82818062923526e-07,-6.53049043663687,0,0.018,0.0146223223806883
"Uxs1",5.83422406406596e-07,-0.594459542131119,0.063,0.113,0.0146374847543351
"Cyb5r2",5.86107704023832e-07,-1.57881689957379,0.014,0.044,0.0147048561862539
"Trmo",5.87696499138069e-07,-3.78241288969969,0.007,0.032,0.014744717466875
"Fam171a2",5.88598874674827e-07,-1.40552163604405,0.011,0.04,0.0147673571667167
"Rrp9",5.88940498515813e-07,0.301547136039154,0.108,0.171,0.0147759281672632
"Steap2",5.89398620791709e-07,0.460202606287009,0.021,0.055,0.0147874219970432
"Tsn",5.89431958578326e-07,0.246422542593291,0.373,0.471,0.0147882584087716
"Mmd",5.89726719283705e-07,0.275897684248977,0.131,0.2,0.0147956536601089
"Mllt3",5.93817958531443e-07,0.992674206367464,0.204,0.145,0.0148982987615954
"Dnai4",5.9547373088456e-07,-1.4794567229468,0.004,0.026,0.0149398404341627
"2700060E02Rik",6.03034893956206e-07,-0.553519603686254,0.29,0.346,0.0151295424544673
"2310039H08Rik",6.03058730684504e-07,-0.222370269709754,0.144,0.211,0.0151301404941435
"Babam1",6.04379409163606e-07,-0.213525427934346,0.275,0.356,0.0151632749965057
"Mir7005",6.06124439131829e-07,-1.8096183247985,0.001,0.021,0.0152070560533784
"Ces2e",6.0945333238755e-07,-0.70374225858566,0.004,0.026,0.0152905746562713
"Mpzl2",6.1238473006887e-07,-3.47584489203535,0.001,0.021,0.0153641204926979
"Cfap91",6.13353366480379e-07,-1.76348784017006,0.001,0.021,0.0153884226116262
"Esf1",6.20084198631514e-07,-0.221861614623624,0.159,0.227,0.0155572924594661
"A330032B11Rik",6.21097217273097e-07,-1.06460963612835,0.014,0.043,0.0155827080841647
"Acp2",6.22621706357249e-07,1.16370294958496,0.292,0.227,0.015620955990797
"Rdh1",6.22657842474489e-07,-1.25989792121907,0.008,0.034,0.0156218626098425
"Cd59b",6.2708219541504e-07,-2.29020105915262,0.012,0.041,0.015732865200768
"Iho1",6.2753394539112e-07,-1.80720195141498,0.008,0.034,0.0157441991559178
"Adgrg3",6.27565635493697e-07,-1.37682527861388,0.001,0.021,0.0157449942289014
"Trp53rkb",6.32511966117551e-07,-0.835191027671478,0.014,0.043,0.0158690927179232
"Gdf15",6.32839538156875e-07,-2.24618831271118,0.012,0.041,0.0158773111728178
"Kptn",6.33656730160236e-07,-0.352842057744522,0.063,0.112,0.0158978137029902
"Acrbp",6.34123591160779e-07,1.76575889152896,0.07,0.035,0.0159095267786328
"Acss2os",6.34179549934216e-07,-1.15672204400268,0.007,0.032,0.0159109307282996
"Cnih1",6.41085722811652e-07,0.205104965719216,0.301,0.399,0.0160841996996215
"Gm7222",6.41514715071635e-07,-0.772943375405731,0.006,0.031,0.0160949626864323
"Tbc1d2b",6.42390952536181e-07,1.54170854710528,0.21,0.155,0.0161169466081803
"Sele",6.44466000480183e-07,2.31336386611112,0.022,0.005,0.0161690074860473
"Ptgdr2",6.46900272524872e-07,2.34481504087477,0.026,0.007,0.0162300809373765
"Gjc2",6.50015922401592e-07,-0.64208286332649,0.006,0.031,0.0163082494771335
"Tbx5",6.52001517705673e-07,-3.83065438220891,0.004,0.027,0.0163580660777176
"Zfp286",6.52736001646413e-07,-0.385240944756307,0.009,0.035,0.0163764935453069
